profile,fixture,kind,stage,round,environment_eligible,strict_global_swap_eligible,done_reason,client_seconds,first_visible_seconds,decode_tps,population,idle_calibration_eligible,path,target_gb,context,slots,mtp,chunk,cache,prompt_tokens,reused_tokens,prefill_tokens,prefill_seconds,output_tokens,decode_seconds,native_request_seconds,peak_gb,pagein_delta,swapin_delta,swapout_delta,estimator_decode_tps,estimator_prefill_tps,output_sha256,exclusions,read_passes,compute_passes,checkpoint_refusals,prefill_estimate_error_pct,decode_estimate_error_pct
budget22_auto,r0211,prose,warmup,1,True,False,length,18.965451250085607,6.835722584044561,10.552584470771894,decode22,False,decode22/decode-budget22_auto-r1/r0211/warmup-result.json,22,32768,3531,True,2048,miss,756,0,756,6.81692375,128,12.129729959,18.963773416,18.521272728,2,4,0,8.663825280368801,205,a1e8ada91e1b252bc84b27f9c7b458329f99026699efea8d2d871b4d55c48137,[],[756],[756],1,-45.90221317865289,-17.898546044663266
budget22_auto,r0265,structured,measured,1,True,True,stop,19.331621624995023,5.217465125024319,13.887273610615921,decode22,False,decode22/decode-budget22_auto-r1/r0265/measured-result.json,22,32768,3531,True,2048,miss,228,0,228,5.209776958,196,14.113641417,19.330184125,18.574897632,0,0,0,8.663825280368801,205,6526bfce9006d4dc18d0a82d1d12a80ab59b33685f508de3429e5126760219f0,[],[228],[228],1,-78.65177087392654,-37.6132023945588
budget22_auto,r0265,structured,warmup,1,True,True,length,15.029486250015907,5.655227500014007,13.654905103943499,decode22,False,decode22/decode-budget22_auto-r1/r0265/warmup-result.json,22,32768,3531,True,2048,miss,228,0,228,5.642527375,128,9.373920875,15.028135583,18.574897632,2,0,0,8.663825280368801,205,adcbedf00b6d883f5e5cacdecf6141d663ed781ae39f7f025049959e21f75987,[],[228],[228],1,-80.2890611239397,-36.55155261484232
budget22_auto,r0289,dialogue,measured,1,True,False,stop,44.12665162503254,3.587194334017113,11.421181631566427,decode22,False,decode22/decode-budget22_auto-r1/r0289/measured-result.json,22,32768,3531,True,2048,miss,128,0,128,3.577781208,463,40.538712625,44.124855792,18.574897632,0,4,0,8.663825280368801,205,758aec4996249572bd7e1f21da86ddfb1e33b0c332d79a657303a0ac495dbf9a,[],[128],[128],1,-82.54811550504296,-24.142478774496567
budget22_auto,r0289,dialogue,warmup,1,True,True,length,14.70969608402811,3.873146124999039,11.812261635135387,decode22,False,decode22/decode-budget22_auto-r1/r0289/warmup-result.json,22,32768,3531,True,2048,miss,128,0,128,3.86423175,128,10.8361975,14.708435917,18.574897632,13,0,0,8.663825280368801,205,e9c246cc2353127d73a9650b15a419bb929d9a1d93c9f5138705d529ce1ae570,[],[128],[128],1,-83.84180131270753,-26.653967309711557
budget22_auto,r0067,code,measured,2,True,True,stop,22.34945641597733,0.01398662501014769,13.252766660552185,decode22,False,decode22/decode-budget22_auto-r2/r0067/measured-result.json,22,32768,3531,True,2048,complete,1287,1287,0,8.75e-07,296,22.334959,22.347969583,17.662399168,0,0,0,8.663825280368801,205,b454a5d39badd17bb2803c1808af7a836c51310e49cdeaa0ac7edf215f50e6af,[],[],[],0,,-34.62628972290517
budget22_auto,r0067,code,warmup,2,True,True,length,17.586549416999333,8.158826792030595,13.576835648506437,decode22,False,decode22/decode-budget22_auto-r2/r0067/warmup-result.json,22,32768,3531,True,2048,miss,1287,0,1287,8.119856584,128,9.42782275,17.58476625,17.662399168,1,0,0,8.663825280368801,205,e31a2422c818bb05c7b7beffaa56f92fa6257722793c16b2b9387f22c0fef1b5,[],[1287],[1287],0,-22.682762736738937,-36.186711656026475
budget22_auto,r0092,reasoning,measured,2,True,False,stop,30.966125958017074,0.016204750048927963,12.342661309041576,decode22,False,decode22/decode-budget22_auto-r2/r0092/measured-result.json,22,32768,3531,True,2048,complete,93,93,0,1.167e-06,382,30.949565125,30.964677334,18.101039368,0,302,0,8.663825280368801,205,3c34719363815f8aa0a9dcf6a27ea7e684afcde69bba643c59c8431f562c6fd9,[],[],[],0,,-29.805857396231517
budget22_auto,r0092,reasoning,warmup,2,True,True,length,12.660919583053328,3.1274549580411986,13.426182436424106,decode22,False,decode22/decode-budget22_auto-r2/r0092/warmup-result.json,22,32768,3531,True,2048,miss,93,0,93,3.12456425,128,9.533610958,12.659453792,18.101039368,0,0,0,8.663825280368801,205,73cec04994dd44f9c557c7e9d6b21eb2db11a489f7556fca637acc83abee3831,[],[93],[93],0,-85.48090228628308,-35.47067216318639
budget22_auto,r0132,reasoning,measured,2,True,False,stop,50.7828357500257,0.010237707989290357,12.604991113148907,decode22,False,decode22/decode-budget22_auto-r2/r0132/measured-result.json,22,32768,3531,True,2048,complete,73,73,0,1.041e-06,640,50.773538375,50.7807825,18.101039368,0,56,0,8.663825280368801,205,e9baade29e945d5f180990944572df712d94c67f3c63970a8a76ffaa32c0242a,[],[],[],0,,-31.26670853951555
budget22_auto,r0132,reasoning,warmup,2,True,False,length,14.476584124960937,4.048592000035569,12.274575149863692,decode22,False,decode22/decode-budget22_auto-r2/r0132/warmup-result.json,22,32768,3531,True,2048,miss,73,0,73,4.035421291,128,10.4280595,14.475187334,18.101039368,0,12,0,8.663825280368801,205,53ea680f8636e88b002b4dca5eda569dd403cb5a0eda0775406a5ab28e1ee45d,[],[73],[73],0,-91.17570297381846,-29.41649568649215
budget22_auto,r0189,prose,measured,2,True,True,stop,31.40239045897033,6.40624395897612,6.32094606661698,decode22,False,decode22/decode-budget22_auto-r2/r0189/measured-result.json,22,32768,3531,True,2048,miss,841,0,841,6.3872505,158,24.996258208,31.399813833,18.53546084,0,0,0,8.663825280368801,205,6cf37ea5a0cd65cffc5fcd4c6f7016b481ef1c2fd8eca71aaaef061b7356e774,[],[841],[841],1,-35.771439927238745,37.06532517537757
budget22_auto,r0189,prose,warmup,2,True,False,length,30.0695966250496,10.686389000038616,6.603103385193419,decode22,False,decode22/decode-budget22_auto-r2/r0189/warmup-result.json,22,32768,3531,True,2048,miss,841,0,841,10.660997166,128,19.384824458,30.067282541,18.53546084,0,4,0,8.663825280368801,205,b50cc489d50f01ada68342669e2c216382c1ac3480e5b553233fb3b5b97a386f,[],[841],[841],1,-61.519180987368394,31.208384527134257
budget22_auto,r0211,prose,measured,2,True,True,stop,19.747346083051525,6.4384841250721365,10.744985639711784,decode22,False,decode22/decode-budget22_auto-r2/r0211/measured-result.json,22,32768,3531,True,2048,miss,756,0,756,6.422716083,143,13.308533375,19.745820583,18.53546084,0,0,0,8.663825280368801,205,8dd1d313b799398e99b2a15ab3773d9cbbe577ffffb4a606192cac1f6f09f100,[],[756],[756],1,-42.58184807810723,-19.368665804925232
budget22_auto,r0211,prose,warmup,2,True,True,length,24.15370687493123,6.752162499935366,7.356116005231033,decode22,False,decode22/decode-budget22_auto-r2/r0211/warmup-result.json,22,32768,3531,True,2048,miss,756,0,756,6.735446209,128,17.400486875,24.151684375,18.53546084,0,0,0,8.663825280368801,205,a1e8ada91e1b252bc84b27f9c7b458329f99026699efea8d2d871b4d55c48137,[],[756],[756],1,-45.2478015024293,17.777170373711336
budget22_auto,r0265,structured,warmup,2,True,True,length,14.539088707999326,5.232589666964486,13.754204468230622,decode22,False,decode22/decode-budget22_auto-r2/r0265/warmup-result.json,22,32768,3531,True,2048,miss,228,0,228,5.218533542,128,9.30624525,14.537736959,18.53546084,0,0,0,8.663825280368801,205,adcbedf00b6d883f5e5cacdecf6141d663ed781ae39f7f025049959e21f75987,[],[228],[228],1,-78.68759273079289,-37.00962276385775
